               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.040927,            0.033012,            0.044142,             0.61527,             0.31009,             0.34734,             0.17097,            0.039364,            0.012573,            0.038184,            0.006436,            0.006436,            0.006436
                  38,            0.040815,            0.035271,            0.046622,             0.59304,             0.30619,              0.3339,             0.14603,            0.045798,            0.013197,            0.035942,            0.006337,            0.006337,            0.006337
                  39,            0.042337,            0.033382,             0.04496,             0.53257,             0.31955,             0.36576,             0.18142,            0.042621,            0.012612,            0.036839,            0.006238,            0.006238,            0.006238
                  40,            0.041062,            0.034276,            0.042393,             0.66701,             0.30709,             0.37584,             0.16708,            0.042839,            0.011997,            0.034325,            0.006139,            0.006139,            0.006139
                  41,             0.04231,            0.032868,            0.044439,             0.43467,             0.41645,             0.34879,             0.15156,            0.045086,            0.012159,            0.036635,             0.00604,             0.00604,             0.00604
                  42,            0.040441,            0.032392,            0.041327,             0.64468,             0.32713,             0.34311,             0.16049,             0.04135,            0.012496,            0.035195,            0.005941,            0.005941,            0.005941
                  43,            0.041355,            0.033697,            0.042875,             0.58845,             0.34392,             0.34122,             0.14989,             0.04412,            0.012652,            0.035101,            0.005842,            0.005842,            0.005842
                  44,            0.042205,            0.032848,            0.042047,             0.57846,             0.36943,             0.36266,              0.1806,            0.042043,            0.012334,            0.034248,            0.005743,            0.005743,            0.005743
                  45,            0.041274,            0.033418,            0.040655,             0.45377,              0.4198,             0.36297,             0.15043,            0.043634,            0.012252,            0.033467,            0.005644,            0.005644,            0.005644
                  46,            0.041994,             0.03352,            0.041805,              0.5426,             0.39103,             0.38714,             0.18517,            0.038976,            0.011848,            0.033079,            0.005545,            0.005545,            0.005545
                  47,            0.041233,            0.034912,            0.044173,             0.48905,             0.36013,             0.37138,             0.17774,            0.043045,            0.011981,            0.033735,            0.005446,            0.005446,            0.005446
                  48,            0.039647,            0.033078,             0.03922,             0.43785,             0.43822,             0.41912,             0.20427,            0.038079,            0.012065,            0.034106,            0.005347,            0.005347,            0.005347
                  49,            0.040847,            0.032865,            0.040536,             0.59132,             0.37722,             0.38468,             0.17152,            0.043006,            0.012145,            0.033751,            0.005248,            0.005248,            0.005248
                  50,            0.040571,            0.033087,            0.038237,              0.4142,             0.41011,             0.39152,             0.18703,            0.043787,            0.012008,             0.03208,            0.005149,            0.005149,            0.005149
                  51,            0.040691,            0.033198,            0.039104,             0.57124,             0.35952,             0.41913,             0.21188,            0.040603,            0.012835,            0.036846,             0.00505,             0.00505,             0.00505
                  52,            0.039398,            0.032809,            0.042807,             0.54896,             0.41399,             0.41159,             0.20491,            0.040684,            0.012058,             0.03549,            0.004951,            0.004951,            0.004951
                  53,             0.03977,            0.033598,             0.03735,             0.44471,             0.51347,             0.46164,             0.21597,            0.041949,            0.012132,            0.031984,            0.004852,            0.004852,            0.004852
                  54,            0.039274,            0.033583,            0.038905,             0.50562,             0.45362,             0.43249,             0.18505,            0.042947,            0.012161,            0.030287,            0.004753,            0.004753,            0.004753
